Date,Price,Open,High,Low,Vol.,Change %
5/19/2021,185.99,294.05,294.05,176.54,6.73M,-36.81%
5/18/2021,294.33,282.45,313.44,282.45,2.56M,4.58%
5/17/2021,281.44,296.00,296.00,265.66,2.08M,-5.02%
5/16/2021,296.31,300.80,323.04,281.08,1.69M,-1.12%
5/15/2021,299.66,326.07,330.18,299.66,1.49M,-8.20%
5/14/2021,326.41,316.36,333.54,313.18,1.48M,2.79%
5/13/2021,317.56,313.69,331.33,302.22,2.98M,2.78%
5/12/2021,308.98,377.31,387.19,308.98,2.54M,-18.23%
5/11/2021,377.87,358.36,377.87,348.45,2.03M,5.16%
5/10/2021,359.32,389.55,401.47,350.77,3.83M,-7.38%
5/9/2021,387.96,347.63,387.96,337.89,2.29M,11.80%
5/8/2021,347.02,345.35,351.86,341.04,1.33M,0.38%
5/7/2021,345.71,354.59,365.84,340.08,2.82M,-2.17%
5/6/2021,353.38,356.63,357.40,329.94,2.75M,-0.67%
5/5/2021,355.75,331.32,355.75,330.69,3.75M,14.15%
5/4/2021,311.64,296.12,320.40,276.92,3.88M,5.76%
5/3/2021,294.67,268.64,294.67,268.64,1.43M,9.56%
5/2/2021,268.95,277.31,277.31,267.75,656.44K,-2.83%
5/1/2021,276.79,271.18,276.79,268.71,759.70K,2.13%
4/30/2021,271.01,255.29,271.01,254.77,1.04M,6.10%
4/29/2021,255.43,258.71,258.71,251.46,877.66K,-1.22%
4/28/2021,258.58,261.18,264.29,252.99,1.01M,-0.48%
4/27/2021,259.82,246.54,261.07,246.54,1.11M,5.01%
4/26/2021,247.42,223.31,247.42,223.31,1.24M,10.67%
4/25/2021,223.57,225.81,232.63,216.21,928.52K,-0.60%
4/24/2021,224.93,241.32,241.32,224.69,1.15M,-6.82%
4/23/2021,241.39,252.78,252.78,227.60,2.87M,-4.52%
4/22/2021,252.83,259.12,284.08,252.83,2.86M,-1.93%
4/21/2021,257.80,261.19,274.75,255.78,1.84M,-1.23%
4/20/2021,261.00,262.52,270.61,247.42,2.11M,-0.14%
4/19/2021,261.36,274.43,280.56,253.51,1.97M,-4.27%
4/18/2021,273.02,302.63,302.63,244.40,3.35M,-9.57%
4/17/2021,301.91,308.58,327.13,301.91,2.57M,-2.31%
4/16/2021,309.04,287.02,316.28,276.00,3.15M,8.13%
4/15/2021,285.81,280.09,286.13,270.00,1.41M,2.53%
4/14/2021,278.76,267.56,280.67,264.46,1.99M,4.26%
4/13/2021,267.37,245.08,269.62,245.08,1.93M,9.40%
4/12/2021,244.39,252.72,256.20,243.99,1.37M,-3.14%
4/11/2021,252.31,256.95,259.56,247.44,1.89M,-1.61%
4/10/2021,256.43,221.14,256.43,220.91,1.86M,16.12%
4/9/2021,220.83,226.36,227.18,220.83,689.19K,-2.48%
4/8/2021,226.44,219.10,226.44,219.10,1.07M,3.33%
4/7/2021,219.15,237.56,240.05,216.07,2.26M,-7.48%
4/6/2021,236.87,222.20,241.25,219.26,2.45M,7.14%
4/5/2021,221.08,202.77,221.08,198.88,1.33M,9.31%
4/4/2021,202.25,195.07,202.93,195.07,565.48K,3.58%
4/3/2021,195.26,211.77,215.32,195.26,955.94K,-7.83%
4/2/2021,211.84,203.72,211.84,201.12,942.91K,4.70%
4/1/2021,202.33,197.51,202.99,195.38,876.54K,2.85%
3/31/2021,196.72,195.69,196.72,189.32,698.22K,0.51%
3/30/2021,195.72,194.26,199.31,190.84,932.22K,0.99%
3/29/2021,193.80,184.32,196.35,184.32,904.76K,5.16%
3/28/2021,184.29,184.06,185.52,181.07,380.62K,0.13%
3/27/2021,184.05,183.85,185.46,179.67,475.86K,0.33%
3/26/2021,183.45,171.53,183.45,171.53,721.82K,6.90%
3/25/2021,171.61,175.64,176.60,170.35,957.19K,-2.53%
3/24/2021,176.07,185.83,196.79,176.07,1.19M,-5.44%
3/23/2021,186.19,185.65,188.18,182.56,638.93K,0.25%
3/22/2021,185.72,195.81,197.13,185.72,726.25K,-4.93%
3/21/2021,195.35,200.16,200.63,193.65,581.84K,-2.24%
3/20/2021,199.82,200.19,204.33,199.82,473.42K,-0.12%
3/19/2021,200.06,199.97,202.97,199.86,536.73K,0.16%
3/18/2021,199.74,206.77,207.21,199.74,776.25K,-3.01%
3/17/2021,205.93,201.70,205.93,195.20,885.68K,2.12%
3/16/2021,201.65,200.89,203.58,196.71,1.06M,0.53%
3/15/2021,200.59,214.82,219.89,200.59,1.41M,-6.37%
3/14/2021,214.24,225.83,225.83,214.24,805.33K,-5.34%
3/13/2021,226.32,220.99,228.36,215.78,1.33M,2.59%
3/12/2021,220.61,202.28,221.84,202.28,2.08M,9.55%
3/11/2021,201.37,200.29,201.84,192.56,981.52K,0.45%
3/10/2021,200.46,204.63,206.85,194.56,1.42M,-1.60%
3/9/2021,203.72,192.51,203.72,190.40,1.28M,6.26%
3/8/2021,191.71,190.84,193.17,182.43,1.17M,0.55%
3/7/2021,190.67,183.37,190.67,183.37,819.53K,4.40%
3/6/2021,182.64,180.33,183.30,177.90,936.73K,1.21%
3/5/2021,180.45,180.61,180.90,170.04,1.18M,-0.04%
3/4/2021,180.53,187.59,192.16,180.12,1.49M,-3.98%
3/3/2021,188.02,178.15,194.56,178.15,1.87M,5.19%
3/2/2021,178.74,175.95,182.10,172.02,1.44M,1.57%
3/1/2021,175.97,165.48,175.97,163.79,1.22M,6.55%
2/28/2021,165.15,171.72,171.72,156.99,1.68M,-3.84%
2/27/2021,171.74,170.29,177.06,170.29,1.11M,1.01%
2/26/2021,170.02,179.10,179.10,162.87,2.18M,-5.33%
2/25/2021,179.60,181.34,200.91,177.28,1.96M,-0.99%
2/24/2021,181.39,177.82,188.67,177.09,1.83M,2.12%
2/23/2021,177.62,208.31,208.31,165.02,3.67M,-14.61%
2/22/2021,208.01,227.10,227.10,201.31,2.56M,-8.45%
2/21/2021,227.22,226.61,231.44,223.56,1.27M,0.02%
2/20/2021,227.18,237.25,245.06,227.18,1.70M,-3.95%
2/19/2021,236.53,227.86,241.45,223.13,1.40M,4.34%
2/18/2021,226.69,237.67,238.01,226.25,1.58M,-4.39%
2/17/2021,237.11,223.48,237.11,222.95,1.84M,387.08%
9/13/2020,48.68,50.80,51.02,48.68,545.03K,-4.17%
9/12/2020,50.80,48.95,51.00,48.67,452.36K,3.78%
9/11/2020,48.95,48.65,48.95,48.01,367.15K,0.55%
9/10/2020,48.68,47.87,49.05,47.87,475.21K,1.76%
9/9/2020,47.84,47.44,48.56,46.74,378.95K,0.82%
9/8/2020,47.45,48.88,48.88,46.66,759.91K,-2.85%
9/7/2020,48.84,47.92,48.84,45.39,826.65K,2.01%
9/6/2020,47.88,47.75,48.79,47.44,653.87K,0.17%
9/5/2020,47.80,50.37,50.37,47.03,1.35M,-5.12%
9/4/2020,50.38,47.31,51.11,46.97,1.48M,6.29%
9/3/2020,47.40,58.00,58.00,47.40,1.32M,-18.36%
9/2/2020,58.06,62.68,62.85,57.85,934.04K,-7.37%
9/1/2020,62.68,61.01,63.75,60.53,972.58K,2.89%
8/31/2020,60.92,63.00,63.00,60.72,680.20K,-3.09%
8/30/2020,62.86,56.94,62.86,56.94,839.21K,10.36%
8/29/2020,56.96,57.40,57.81,56.96,408.19K,-0.70%
8/28/2020,57.36,56.17,57.99,56.17,644.93K,2.25%
8/27/2020,56.10,58.13,58.48,55.27,975.87K,-3.44%
8/26/2020,58.10,58.31,58.60,57.18,663.39K,-0.34%
8/25/2020,58.30,62.06,62.06,56.85,1.17M,-6.03%
8/24/2020,62.04,60.58,62.40,60.28,687.32K,2.53%
8/23/2020,60.51,60.27,61.40,58.42,629.72K,0.48%
8/22/2020,60.22,59.19,60.32,58.55,735.65K,1.95%
8/21/2020,59.07,62.79,62.98,59.07,1.05M,-5.91%
8/20/2020,62.78,62.14,63.10,61.42,868.20K,1.27%
8/19/2020,61.99,65.40,65.64,60.10,1.70M,-5.34%
8/18/2020,65.49,67.18,67.80,65.45,1.56M,-2.54%
8/17/2020,67.20,63.95,68.18,62.87,1.79M,5.18%
8/16/2020,63.89,59.83,63.89,59.83,1.58M,6.73%
8/15/2020,59.86,56.92,60.28,56.92,1.14M,5.42%
8/14/2020,56.78,57.21,57.63,56.11,728.29K,-0.54%
8/13/2020,57.09,54.53,57.09,53.28,837.49K,4.91%
8/12/2020,54.42,54.11,54.73,53.53,644.39K,0.48%
