Date,Price,Open,High,Low,Vol.,Change %
12/5/2020,0.00,0.00,0.00,0.00,369.45M,3.28%
12/4/2020,0.00,0.00,0.00,0.00,572.32M,-4.20%
12/3/2020,0.00,0.00,0.00,0.00,662.66M,1.78%
12/2/2020,0.00,0.00,0.00,0.00,591.00M,1.35%
12/1/2020,0.00,0.00,0.00,0.00,1.03B,-6.67%
11/30/2020,0.00,0.00,0.00,0.00,847.54M,3.62%
11/29/2020,0.00,0.00,0.00,0.00,577.06M,1.24%
11/28/2020,0.00,0.00,0.00,0.00,716.03M,3.64%
11/27/2020,0.00,0.00,0.00,0.00,1.02B,0.73%
11/26/2020,0.00,0.00,0.00,0.00,3.25B,-12.45%
11/25/2020,0.00,0.00,0.00,0.00,2.83B,-13.01%
11/24/2020,0.00,0.00,0.00,0.00,5.89B,15.76%
11/23/2020,0.00,0.00,0.00,0.00,1.97B,10.37%
11/22/2020,0.00,0.00,0.00,0.00,2.12B,-4.92%
11/21/2020,0.00,0.00,0.00,0.00,3.29B,17.66%
11/20/2020,0.00,0.00,0.00,0.00,880.46M,2.76%
11/19/2020,0.00,0.00,0.00,0.00,567.33M,-0.06%
11/18/2020,0.00,0.00,0.00,0.00,1.02B,-1.06%
11/17/2020,0.00,0.00,0.00,0.00,920.89M,1.72%
11/16/2020,0.00,0.00,0.00,0.00,1.35B,4.27%
11/15/2020,0.00,0.00,0.00,0.00,324.11M,0.10%
11/14/2020,0.00,0.00,0.00,0.00,308.00M,-1.51%
11/13/2020,0.00,0.00,0.00,0.00,373.60M,1.23%
11/12/2020,0.00,0.00,0.00,0.00,209.47M,0.70%
11/11/2020,0.00,0.00,0.00,0.00,561.28M,-0.11%
11/10/2020,0.00,0.00,0.00,0.00,807.09M,3.33%
11/9/2020,0.00,0.00,0.00,0.00,438.71M,-1.04%
11/8/2020,0.00,0.00,0.00,0.00,243.61M,1.13%
11/7/2020,0.00,0.00,0.00,0.00,748.75M,-3.16%
11/6/2020,0.00,0.00,0.00,0.00,922.11M,4.64%
11/5/2020,0.00,0.00,0.00,0.00,341.11M,3.48%
11/4/2020,0.00,0.00,0.00,0.00,279.16M,1.27%
11/3/2020,0.00,0.00,0.00,0.00,333.69M,-0.14%
11/2/2020,0.00,0.00,0.00,0.00,291.69M,-2.21%
11/1/2020,0.00,0.00,0.00,0.00,132.64M,0.31%
10/31/2020,0.00,0.00,0.00,0.00,260.16M,-0.64%
10/30/2020,0.00,0.00,0.00,0.00,440.78M,0.38%
10/29/2020,0.00,0.00,0.00,0.00,289.76M,-0.26%
10/28/2020,0.00,0.00,0.00,0.00,437.96M,-3.37%
10/27/2020,0.00,0.00,0.00,0.00,578.01M,0.19%
10/26/2020,0.00,0.00,0.00,0.00,1.88B,0.46%
10/25/2020,0.00,0.00,0.00,0.00,297.03M,0.63%
10/24/2020,0.00,0.00,0.00,0.00,212.47M,-0.19%
